Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
54,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
3 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",49.0,55.0,,,,,,,,,,,,,,,,,,,,,
29,1963372,"850 сая ₮
Zaisan 4 uruu oron suuts 300m2
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",63.0,30.0,,,,,,,,,,,,,,,,,,,,,
56,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
3 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",49.0,57.0,,,,,,,,,,,,,,,,,,,,,
44,2317839,"321.8 сая ₮
Зайсанд 3 өрөө байр
6 өдрийн өмнө
УБ — Хан-Уул, Зайсан",74.0,45.0,,,,,,,,,,,,,,,,,,,,,
56,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",129.0,57.0,,,,,,,,,,,,,,,,,,,,,
49,2626990,"500 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",129.0,50.0,,,,,,,,,,,,,,,,,,,,,
48,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",129.0,49.0,,,,,,,,,,,,,,,,,,,,,
47,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",129.0,48.0,,,,,,,,,,,,,,,,,,,,,
43,3292229,"372 сая ₮
Акоёо резидэнс 3 өрөө байр 83м2
6 өдрийн өмнө
УБ — Хан-Уул, 120 мянгат",74.0,44.0,,,,,,,,,,,,,,,,,,,,,
52,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
3 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",49.0,53.0,,,,,,,,,,,,,,,,,,,,,
58,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",120.0,59.0,,,,,,,,,,,,,,,,,,,,,
18,3759983,"450 сая ₮
Жапан таун хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",120.0,19.0,,,,,,,,,,,,,,,,,,,,,
35,3794031,"515.2 сая ₮
King tower хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",120.0,36.0,,,,,,,,,,,,,,,,,,,,,
13,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",90.0,14.0,,,,,,,,,,,,,,,,,,,,,
57,4045013,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",120.0,58.0,,,,,,,,,,,,,,,,,,,,,
56,4181852,"125 сая ₮
Хууль сахиулах их сургуулийн хойно, харуул алтай хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",120.0,57.0,,,,,,,,,,,,,,,,,,,,,
55,4182220,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",120.0,56.0,,,,,,,,,,,,,,,,,,,,,
31,4214853,"75 сая ₮ 85 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",120.0,32.0,,,,,,,,,,,,,,,,,,,,,
23,4224390,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",120.0,24.0,,,,,,,,,,,,,,,,,,,,,
24,4224435,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",120.0,25.0,,,,,,,,,,,,,,,,,,,,,
30,4224701,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",120.0,31.0,,,,,,,,,,,,,,,,,,,,,
29,4224715,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",120.0,30.0,,,,,,,,,,,,,,,,,,,,,
28,4224739,"515.2 сая ₮
King tower-т 3өрөө байр 114.5м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",120.0,29.0,,,,,,,,,,,,,,,,,,,,,
39,4266590,"663.55 сая ₮
Time classic tower хотын төвд 102.57мкв 3 өрөө
6 өдрийн өмнө
УБ — Чингэлтэй, 50 мянгат",73.0,40.0,,,,,,,,,,,,,,,,,,,,,
40,4266618,"5.84 сая ₮
Хотын төвд time classic tower 4 өрөө 116.66м2
6 өдрийн өмнө
УБ — Чингэлтэй, 50 мянгат",73.0,41.0,,,,,,,,,,,,,,,,,,,,,
7,4280422,"510 сая ₮
Олонлог академи сургуулийн хажууд 4 өрөө
3 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",148.0,8.0,,,,,,,,,,,,,,,,,,,,,
